,TRADE_DT,S_INFO_WINDCODE,S_DQ_CLOSE
193,20101026,000300.SH,3466.084
194,20101027,000300.SH,3403.872
195,20101028,000300.SH,3397.692
196,20101029,000300.SH,3379.983
197,20101101,000300.SH,3472.995
198,20101102,000300.SH,3463.131
199,20101103,000300.SH,3420.341
200,20101104,000300.SH,3480.505
201,20101105,000300.SH,3520.798
202,20101108,000300.SH,3548.566
203,20101109,000300.SH,3523.954
204,20101110,000300.SH,3499.111
205,20101111,000300.SH,3509.975
206,20101112,000300.SH,3291.833
207,20101115,000300.SH,3314.893
208,20101116,000300.SH,3169.538
209,20101117,000300.SH,3103.906
210,20101118,000300.SH,3147.962
211,20101119,000300.SH,3178.846
212,20101122,000300.SH,3171.941
213,20101123,000300.SH,3107.176
214,20101124,000300.SH,3177.043
215,20101125,000300.SH,3223.484
216,20101126,000300.SH,3194.853
217,20101129,000300.SH,3190.05
218,20101130,000300.SH,3136.985
219,20101201,000300.SH,3136.024
220,20101202,000300.SH,3155.059
221,20101203,000300.SH,3158.156
222,20101206,000300.SH,3165.57
223,20101207,000300.SH,3200.339
224,20101208,000300.SH,3171.882
225,20101209,000300.SH,3123.366
226,20101210,000300.SH,3161.977
227,20101213,000300.SH,3261.061
228,20101214,000300.SH,3269.474
229,20101215,000300.SH,3247.644
230,20101216,000300.SH,3230.665
231,20101217,000300.SH,3225.661
232,20101220,000300.SH,3178.657
233,20101221,000300.SH,3249.509
234,20101222,000300.SH,3215.453
235,20101223,000300.SH,3188.607
236,20101224,000300.SH,3162.955
237,20101227,000300.SH,3099.709
238,20101228,000300.SH,3044.931
239,20101229,000300.SH,3061.83
240,20101230,000300.SH,3064.098
241,20101231,000300.SH,3128.261
242,20110104,000300.SH,3189.682
243,20110105,000300.SH,3175.662
244,20110106,000300.SH,3159.643
245,20110107,000300.SH,3166.624
246,20110110,000300.SH,3108.187
247,20110111,000300.SH,3124.922
248,20110112,000300.SH,3142.337
249,20110113,000300.SH,3141.284
250,20110114,000300.SH,3091.862
251,20110117,000300.SH,2974.35
252,20110118,000300.SH,2977.648
253,20110119,000300.SH,3044.851
254,20110120,000300.SH,2944.713
255,20110121,000300.SH,2983.456
256,20110124,000300.SH,2954.232
257,20110125,000300.SH,2938.654
258,20110126,000300.SH,2978.431
259,20110127,000300.SH,3026.466
260,20110128,000300.SH,3036.735
261,20110131,000300.SH,3076.508
262,20110201,000300.SH,3077.283
263,20110209,000300.SH,3040.949
264,20110210,000300.SH,3104.163
265,20110211,000300.SH,3120.956
266,20110214,000300.SH,3219.143
267,20110215,000300.SH,3217.671
268,20110216,000300.SH,3248.527
269,20110217,000300.SH,3245.907
270,20110218,000300.SH,3211.876
271,20110221,000300.SH,3257.908
272,20110222,000300.SH,3163.578
273,20110223,000300.SH,3174.742
274,20110224,000300.SH,3190.935
275,20110225,000300.SH,3197.617
276,20110228,000300.SH,3239.559
277,20110301,000300.SH,3254.893
278,20110302,000300.SH,3243.298
279,20110303,000300.SH,3221.718
280,20110304,000300.SH,3270.666
281,20110307,000300.SH,3334.51
282,20110308,000300.SH,3337.457
283,20110309,000300.SH,3338.858
284,20110310,000300.SH,3280.259
285,20110311,000300.SH,3247.376
286,20110314,000300.SH,3262.92
287,20110315,000300.SH,3203.961
288,20110316,000300.SH,3248.195
289,20110317,000300.SH,3197.1
290,20110318,000300.SH,3215.685
291,20110321,000300.SH,3207.11
292,20110322,000300.SH,3222.961
